,movie_id,title,release_date
542,543,"Misérables, Les (1995)",01-Jan-1995
543,544,Things to Do in Denver when You're Dead (1995),02-Feb-1996
544,545,Vampire in Brooklyn (1995),01-Jan-1995
545,546,Broken Arrow (1996),09-Feb-1996
546,547,"Young Poisoner's Handbook, The (1995)",23-Feb-1996
547,548,"NeverEnding Story III, The (1994)",02-Feb-1996
548,549,Rob Roy (1995),01-Jan-1995
549,550,Die Hard: With a Vengeance (1995),01-Jan-1995
550,551,Lord of Illusions (1995),01-Jan-1995
551,552,Species (1995),01-Jan-1995
552,553,"Walk in the Clouds, A (1995)",01-Jan-1995
553,554,Waterworld (1995),01-Jan-1995
554,555,White Man's Burden (1995),01-Jan-1995
555,556,Wild Bill (1995),01-Jan-1995
556,557,Farinelli: il castrato (1994),01-Jan-1994
557,558,Heavenly Creatures (1994),01-Jan-1994
558,559,Interview with the Vampire (1994),01-Jan-1994
559,560,"Kid in King Arthur's Court, A (1995)",01-Jan-1995
560,561,Mary Shelley's Frankenstein (1994),01-Jan-1994
561,562,"Quick and the Dead, The (1995)",01-Jan-1995
562,563,Stephen King's The Langoliers (1995),01-Jan-1995
563,564,Tales from the Hood (1995),01-Jan-1995
564,565,Village of the Damned (1995),01-Jan-1995
565,566,Clear and Present Danger (1994),01-Jan-1994
566,567,Wes Craven's New Nightmare (1994),01-Jan-1994
567,568,Speed (1994),01-Jan-1994
568,569,Wolf (1994),01-Jan-1994
569,570,Wyatt Earp (1994),01-Jan-1994
570,571,Another Stakeout (1993),01-Jan-1993
571,572,Blown Away (1994),01-Jan-1994
572,573,Body Snatchers (1993),01-Jan-1993
573,574,Boxing Helena (1993),01-Jan-1993
574,575,City Slickers II: The Legend of Curly's Gold (1994),01-Jan-1994
575,576,Cliffhanger (1993),01-Jan-1993
576,577,Coneheads (1993),01-Jan-1993
577,578,Demolition Man (1993),01-Jan-1993
578,579,Fatal Instinct (1993),01-Jan-1993
579,580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",01-Jan-1995
580,581,Kalifornia (1993),01-Jan-1993
581,582,"Piano, The (1993)",01-Jan-1993
582,583,Romeo Is Bleeding (1993),01-Jan-1993
583,584,"Secret Garden, The (1993)",01-Jan-1993
584,585,Son in Law (1993),01-Jan-1993
585,586,Terminal Velocity (1994),01-Jan-1994
586,587,"Hour of the Pig, The (1993)",01-Jan-1993
587,588,Beauty and the Beast (1991),01-Jan-1991
588,589,"Wild Bunch, The (1969)",01-Jan-1969
589,590,Hellraiser: Bloodline (1996),08-Mar-1996
590,591,Primal Fear (1996),30-Mar-1996
591,592,True Crime (1995),01-Jan-1995
592,593,Stalingrad (1993),01-Jan-1993
593,594,Heavy (1995),05-Jun-1996
594,595,"Fan, The (1996)",16-Aug-1996
595,596,"Hunchback of Notre Dame, The (1996)",21-Jun-1996
596,597,Eraser (1996),21-Jun-1996
597,598,"Big Squeeze, The (1996)",06-Sep-1996
598,599,Police Story 4: Project S (Chao ji ji hua) (1993),16-Aug-1996
599,600,Daniel Defoe's Robinson Crusoe (1996),01-Jan-1996
600,601,For Whom the Bell Tolls (1943),01-Jan-1943
601,602,"American in Paris, An (1951)",01-Jan-1951
602,603,Rear Window (1954),01-Jan-1954
603,604,It Happened One Night (1934),01-Jan-1934
604,605,Meet Me in St. Louis (1944),01-Jan-1944
605,606,All About Eve (1950),01-Jan-1950
606,607,Rebecca (1940),01-Jan-1940
607,608,Spellbound (1945),01-Jan-1945
608,609,Father of the Bride (1950),01-Jan-1950
609,610,Gigi (1958),01-Jan-1958
610,611,Laura (1944),01-Jan-1944
611,612,Lost Horizon (1937),01-Jan-1937
612,613,My Man Godfrey (1936),01-Jan-1936
613,614,Giant (1956),01-Jan-1956
614,615,"39 Steps, The (1935)",01-Jan-1935
615,616,Night of the Living Dead (1968),01-Jan-1968
616,617,"Blue Angel, The (Blaue Engel, Der) (1930)",01-Jan-1930
617,618,Picnic (1955),01-Jan-1955
618,619,Extreme Measures (1996),27-Sep-1996
619,620,"Chamber, The (1996)",11-Oct-1996
620,621,"Davy Crockett, King of the Wild Frontier (1955)",01-Jan-1955
621,622,Swiss Family Robinson (1960),01-Jan-1960
622,623,Angels in the Outfield (1994),01-Jan-1994
623,624,"Three Caballeros, The (1945)",01-Jan-1945
624,625,"Sword in the Stone, The (1963)",01-Jan-1963
625,626,So Dear to My Heart (1949),01-Jan-1949
626,627,Robin Hood: Prince of Thieves (1991),01-Jan-1991
627,628,Sleepers (1996),18-Oct-1996
628,629,Victor/Victoria (1982),01-Jan-1982
629,630,"Great Race, The (1965)",01-Jan-1965
630,631,"Crying Game, The (1992)",01-Jan-1992
631,632,Sophie's Choice (1982),01-Jan-1982
632,633,"Christmas Carol, A (1938)",01-Jan-1938
633,634,Microcosmos: Le peuple de l'herbe (1996),11-Oct-1996
634,635,"Fog, The (1980)",01-Jan-1980
635,636,Escape from New York (1981),01-Jan-1981
636,637,"Howling, The (1981)",01-Jan-1981
637,638,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",01-Jan-1982
638,639,"Tin Drum, The (Blechtrommel, Die) (1979)",01-Jan-1979
639,640,"Cook the Thief His Wife & Her Lover, The (1989)",01-Jan-1989
640,641,Paths of Glory (1957),01-Jan-1957
641,642,"Grifters, The (1990)",01-Jan-1990
642,643,The Innocent (1994),01-Jan-1994
643,644,"Thin Blue Line, The (1988)",01-Jan-1988
644,645,Paris Is Burning (1990),01-Jan-1990
645,646,Once Upon a Time in the West (1969),01-Jan-1969
646,647,Ran (1985),01-Jan-1985
647,648,"Quiet Man, The (1952)",01-Jan-1952
648,649,Once Upon a Time in America (1984),01-Jan-1984
649,650,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",01-Jan-1957
650,651,Glory (1989),01-Jan-1989
651,652,Rosencrantz and Guildenstern Are Dead (1990),01-Jan-1990
652,653,Touch of Evil (1958),01-Jan-1958
653,654,Chinatown (1974),01-Jan-1974
654,655,Stand by Me (1986),01-Jan-1986
655,656,M (1931),01-Jan-1931
656,657,"Manchurian Candidate, The (1962)",01-Jan-1962
657,658,Pump Up the Volume (1990),01-Jan-1990
658,659,Arsenic and Old Lace (1944),01-Jan-1944
659,660,Fried Green Tomatoes (1991),01-Jan-1991
660,661,High Noon (1952),01-Jan-1952
661,662,Somewhere in Time (1980),01-Jan-1980
662,663,Being There (1979),01-Jan-1979
663,664,"Paris, Texas (1984)",01-Jan-1984
664,665,Alien 3 (1992),01-Jan-1992
665,666,Blood For Dracula (Andy Warhol's Dracula) (1974),01-Jan-1974
666,667,Audrey Rose (1977),01-Jan-1977
667,668,Blood Beach (1981),01-Jan-1981
668,669,Body Parts (1991),01-Jan-1991
669,670,Body Snatchers (1993),01-Jan-1993
670,671,Bride of Frankenstein (1935),01-Jan-1935
671,672,Candyman (1992),01-Jan-1992
672,673,Cape Fear (1962),01-Jan-1962
673,674,Cat People (1982),01-Jan-1982
674,675,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",01-Jan-1922
675,676,"Crucible, The (1996)",27-Nov-1996
676,677,Fire on the Mountain (1996),24-Jan-1997
677,678,Volcano (1997),25-Apr-1997
678,679,Conan the Barbarian (1981),01-Jan-1981
679,680,Kull the Conqueror (1997),29-Aug-1997
680,681,Wishmaster (1997),01-Jan-1997
681,682,I Know What You Did Last Summer (1997),17-Oct-1997
682,683,Rocket Man (1997),01-Jan-1997
683,684,In the Line of Fire (1993),01-Jan-1993
684,685,Executive Decision (1996),09-Mar-1996
685,686,"Perfect World, A (1993)",01-Jan-1993
686,687,McHale's Navy (1997),18-Apr-1997
687,688,Leave It to Beaver (1997),22-Aug-1997
688,689,"Jackal, The (1997)",01-Jan-1997
689,690,Seven Years in Tibet (1997),01-Jan-1997
690,691,Dark City (1998),09-Jan-1998
691,692,"American President, The (1995)",01-Jan-1995
692,693,Casino (1995),01-Jan-1995
693,694,Persuasion (1995),25-Sep-1995
694,695,Kicking and Screaming (1995),01-Jan-1995
695,696,City Hall (1996),16-Feb-1996
696,697,"Basketball Diaries, The (1995)",01-Jan-1995
697,698,"Browning Version, The (1994)",01-Jan-1994
698,699,Little Women (1994),01-Jan-1994
699,700,Miami Rhapsody (1995),01-Jan-1995
700,701,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",01-Jan-1993
701,702,Barcelona (1994),01-Jan-1994
702,703,Widows' Peak (1994),01-Jan-1994
703,704,"House of the Spirits, The (1993)",01-Jan-1993
704,705,Singin' in the Rain (1952),01-Jan-1952
705,706,Bad Moon (1996),01-Nov-1996
706,707,Enchanted April (1991),01-Jan-1991
707,708,"Sex, Lies, and Videotape (1989)",01-Jan-1989
708,709,Strictly Ballroom (1992),01-Jan-1992
709,710,Better Off Dead... (1985),01-Jan-1985
710,711,"Substance of Fire, The (1996)",06-Dec-1996
711,712,Tin Men (1987),01-Jan-1987
712,713,Othello (1995),18-Dec-1995
713,714,Carrington (1995),01-Jan-1995
714,715,To Die For (1995),01-Jan-1995
715,716,Home for the Holidays (1995),01-Jan-1995
716,717,"Juror, The (1996)",01-Jan-1996
717,718,In the Bleak Midwinter (1995),23-Feb-1996
718,719,Canadian Bacon (1994),01-Jan-1994
719,720,First Knight (1995),01-Jan-1995
720,721,Mallrats (1995),01-Jan-1995
721,722,Nine Months (1995),01-Jan-1995
722,723,Boys on the Side (1995),01-Jan-1995
723,724,Circle of Friends (1995),01-Jan-1995
724,725,Exit to Eden (1994),01-Jan-1994
725,726,Fluke (1995),01-Jan-1995
726,727,Immortal Beloved (1994),01-Jan-1994
727,728,Junior (1994),01-Jan-1994
728,729,Nell (1994),01-Jan-1994
729,730,"Queen Margot (Reine Margot, La) (1994)",01-Jan-1996
730,731,"Corrina, Corrina (1994)",01-Jan-1994
731,732,Dave (1993),01-Jan-1993
732,733,Go Fish (1994),01-Jan-1994
733,734,Made in America (1993),01-Jan-1993
734,735,Philadelphia (1993),01-Jan-1993
735,736,Shadowlands (1993),01-Jan-1993
736,737,Sirens (1994),01-Jan-1994
737,738,Threesome (1994),01-Jan-1994
738,739,Pretty Woman (1990),01-Jan-1990
739,740,Jane Eyre (1996),05-Apr-1996
740,741,"Last Supper, The (1995)",05-Apr-1996
741,742,Ransom (1996),08-Nov-1996
742,743,"Crow: City of Angels, The (1996)",30-Aug-1996
743,744,Michael Collins (1996),11-Oct-1996
744,745,"Ruling Class, The (1972)",01-Jan-1972
745,746,Real Genius (1985),01-Jan-1985
746,747,Benny & Joon (1993),01-Jan-1993
747,748,"Saint, The (1997)",14-Mar-1997
748,749,"MatchMaker, The (1997)",01-Jan-1997
749,750,Amistad (1997),18-Dec-1997
750,751,Tomorrow Never Dies (1997),01-Jan-1997
751,752,"Replacement Killers, The (1998)",06-Feb-1998
752,753,Burnt By the Sun (1994),01-Jan-1994
753,754,Red Corner (1997),01-Jan-1997
754,755,Jumanji (1995),01-Jan-1995
755,756,Father of the Bride Part II (1995),01-Jan-1995
756,757,Across the Sea of Time (1995),01-Jan-1995
757,758,Lawnmower Man 2: Beyond Cyberspace (1996),01-Jan-1996
758,759,Fair Game (1995),01-Jan-1995
759,760,Screamers (1995),01-Jan-1995
760,761,Nick of Time (1995),01-Jan-1995
761,762,Beautiful Girls (1996),09-Feb-1996
762,763,Happy Gilmore (1996),16-Feb-1996
763,764,If Lucy Fell (1996),08-Mar-1996
764,765,Boomerang (1992),01-Jan-1992
765,766,Man of the Year (1995),01-Mar-1996
766,767,"Addiction, The (1995)",01-Jan-1995
767,768,Casper (1995),01-Jan-1995
768,769,Congo (1995),01-Jan-1995
769,770,Devil in a Blue Dress (1995),01-Jan-1995
770,771,Johnny Mnemonic (1995),01-Jan-1995
771,772,Kids (1995),01-Jan-1995
772,773,Mute Witness (1994),01-Jan-1994
773,774,"Prophecy, The (1995)",01-Jan-1995
774,775,Something to Talk About (1995),01-Jan-1995
775,776,Three Wishes (1995),01-Jan-1995
776,777,Castle Freak (1995),01-Jan-1995
777,778,Don Juan DeMarco (1995),01-Jan-1995
778,779,Drop Zone (1994),01-Jan-1994
779,780,Dumb & Dumber (1994),01-Jan-1994
780,781,French Kiss (1995),01-Jan-1995
781,782,Little Odessa (1994),01-Jan-1994
782,783,Milk Money (1994),01-Jan-1994
783,784,Beyond Bedlam (1993),01-Jan-1993
784,785,Only You (1994),01-Jan-1994
785,786,"Perez Family, The (1995)",01-Jan-1995
786,787,Roommates (1995),01-Jan-1995
787,788,Relative Fear (1994),01-Jan-1994
788,789,Swimming with Sharks (1995),01-Jan-1995
789,790,Tommy Boy (1995),01-Jan-1995
790,791,"Baby-Sitters Club, The (1995)",01-Jan-1995
791,792,Bullets Over Broadway (1994),01-Jan-1994
792,793,Crooklyn (1994),01-Jan-1994
793,794,It Could Happen to You (1994),01-Jan-1994
794,795,Richie Rich (1994),01-Jan-1994
795,796,Speechless (1994),01-Jan-1994
796,797,Timecop (1994),01-Jan-1994
797,798,Bad Company (1995),01-Jan-1995
798,799,Boys Life (1995),01-Jan-1995
799,800,In the Mouth of Madness (1995),01-Jan-1995
800,801,"Air Up There, The (1994)",01-Jan-1994
801,802,Hard Target (1993),01-Jan-1993
802,803,Heaven & Earth (1993),01-Jan-1993
803,804,Jimmy Hollywood (1994),01-Jan-1994
804,805,Manhattan Murder Mystery (1993),01-Jan-1993
805,806,Menace II Society (1993),01-Jan-1993
806,807,Poetic Justice (1993),01-Jan-1993
807,808,"Program, The (1993)",01-Jan-1993
808,809,Rising Sun (1993),01-Jan-1993
809,810,"Shadow, The (1994)",01-Jan-1994
810,811,Thirty-Two Short Films About Glenn Gould (1993),01-Jan-1993
811,812,Andre (1994),01-Jan-1994
812,813,"Celluloid Closet, The (1995)",15-Mar-1996
813,814,"Great Day in Harlem, A (1994)",01-Jan-1994
814,815,One Fine Day (1996),30-Nov-1996
815,816,Candyman: Farewell to the Flesh (1995),01-Jan-1995
816,817,Frisk (1995),29-Mar-1996
817,818,Girl 6 (1996),22-Mar-1996
818,819,Eddie (1996),31-May-1996
819,820,Space Jam (1996),15-Nov-1996
820,821,Mrs. Winterbourne (1996),19-Apr-1996
821,822,Faces (1968),01-Jan-1968
822,823,Mulholland Falls (1996),26-Apr-1996
823,824,"Great White Hype, The (1996)",03-May-1996
824,825,"Arrival, The (1996)",31-May-1996
825,826,"Phantom, The (1996)",07-Jun-1996
826,827,Daylight (1996),06-Dec-1996
827,828,Alaska (1996),21-Aug-1996
828,829,Fled (1996),19-Jul-1996
829,830,Power 98 (1995),17-May-1996
830,831,Escape from L.A. (1996),09-Aug-1996
831,832,Bogus (1996),06-Sep-1996
832,833,Bulletproof (1996),06-Sep-1996
833,834,Halloween: The Curse of Michael Myers (1995),01-Jan-1995
834,835,"Gay Divorcee, The (1934)",01-Jan-1934
835,836,Ninotchka (1939),01-Jan-1939
836,837,Meet John Doe (1941),01-Jan-1941
837,838,In the Line of Duty 2 (1987),30-Aug-1996
838,839,Loch Ness (1995),01-Jan-1995
839,840,Last Man Standing (1996),20-Sep-1996
840,841,"Glimmer Man, The (1996)",04-Oct-1996
841,842,Pollyanna (1960),01-Jan-1960
842,843,"Shaggy Dog, The (1959)",01-Jan-1959
843,844,Freeway (1996),23-Aug-1996
844,845,That Thing You Do! (1996),28-Sep-1996
845,846,To Gillian on Her 37th Birthday (1996),18-Oct-1996
846,847,Looking for Richard (1996),11-Oct-1996
847,848,"Murder, My Sweet (1944)",01-Jan-1944
848,849,Days of Thunder (1990),01-Jan-1990
849,850,"Perfect Candidate, A (1996)",27-Sep-1996
850,851,Two or Three Things I Know About Her (1966),01-Jan-1966
851,852,"Bloody Child, The (1996)",26-Oct-1996
852,853,Braindead (1992),01-Jan-1992
853,854,Bad Taste (1987),01-Jan-1987
854,855,Diva (1981),01-Jan-1981
855,856,Night on Earth (1991),01-Jan-1991
856,857,Paris Was a Woman (1995),08-Nov-1996
857,858,Amityville: Dollhouse (1996),01-Jan-1996
858,859,April Fool's Day (1986),01-Jan-1986
859,860,"Believers, The (1987)",01-Jan-1987
860,861,Nosferatu a Venezia (1986),01-Jan-1986
861,862,Jingle All the Way (1996),22-Nov-1996
862,863,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",08-Nov-1996
863,864,My Fellow Americans (1996),20-Dec-1996
864,865,"Ice Storm, The (1997)",01-Jan-1997
865,866,Michael (1996),25-Dec-1996
866,867,"Whole Wide World, The (1996)",25-Dec-1996
867,868,Hearts and Minds (1996),10-Jan-1997
868,869,Fools Rush In (1997),14-Feb-1997
869,870,Touch (1997),14-Feb-1997
870,871,Vegas Vacation (1997),14-Feb-1997
871,872,Love Jones (1997),14-Mar-1997
872,873,Picture Perfect (1997),01-Aug-1997
873,874,Career Girls (1997),08-Aug-1997
874,875,She's So Lovely (1997),22-Aug-1997
875,876,Money Talks (1997),22-Aug-1997
876,877,Excess Baggage (1997),01-Jan-1997
877,878,That Darn Cat! (1997),14-Feb-1997
878,879,"Peacemaker, The (1997)",01-Jan-1997
879,880,Soul Food (1997),01-Jan-1997
880,881,Money Talks (1997),22-Aug-1997
881,882,Washington Square (1997),01-Jan-1997
882,883,Telling Lies in America (1997),01-Jan-1997
883,884,Year of the Horse (1997),01-Jan-1997
884,885,Phantoms (1998),01-Jan-1998
885,886,"Life Less Ordinary, A (1997)",01-Jan-1997
886,887,Eve's Bayou (1997),01-Jan-1997
887,888,One Night Stand (1997),01-Jan-1997
888,889,"Tango Lesson, The (1997)",01-Jan-1997
889,890,Mortal Kombat: Annihilation (1997),01-Jan-1997
890,891,Bent (1997),18-Dec-1997
891,892,Flubber (1997),01-Jan-1997
892,893,For Richer or Poorer (1997),01-Jan-1997
893,894,Home Alone 3 (1997),01-Jan-1997
894,895,Scream 2 (1997),01-Jan-1997
895,896,"Sweet Hereafter, The (1997)",01-Jan-1997
896,897,Time Tracers (1995),01-Jan-1995
897,898,"Postman, The (1997)",01-Jan-1997
898,899,"Winter Guest, The (1997)",01-Jan-1997
899,900,Kundun (1997),25-Dec-1997
900,901,Mr. Magoo (1997),25-Dec-1997
901,902,"Big Lebowski, The (1998)",26-Dec-1997
902,903,Afterglow (1997),26-Dec-1997
903,904,Ma vie en rose (My Life in Pink) (1997),26-Dec-1997
904,905,Great Expectations (1998),01-Jan-1998
905,906,Oscar & Lucinda (1997),31-Dec-1997
906,907,Vermin (1998),01-Jan-1997
907,908,Half Baked (1998),16-Jan-1998
908,909,Dangerous Beauty (1998),23-Jan-1998
909,910,Nil By Mouth (1997),06-Feb-1998
910,911,Twilight (1998),30-Jan-1998
911,912,U.S. Marshalls (1998),10-Mar-1998
912,913,Love and Death on Long Island (1997),10-Mar-1998
913,914,Wild Things (1998),14-Mar-1998
914,915,Primary Colors (1998),20-Mar-1998
915,916,Lost in Space (1998),27-Mar-1998
916,917,Mercury Rising (1998),27-Mar-1998
917,918,City of Angels (1998),03-Apr-1998
918,919,"City of Lost Children, The (1995)",01-Jan-1995
919,920,Two Bits (1995),01-Jan-1995
920,921,Farewell My Concubine (1993),01-Jan-1993
921,922,Dead Man (1995),10-May-1996
922,923,Raise the Red Lantern (1991),01-Jan-1991
923,924,White Squall (1996),01-Jan-1996
924,925,Unforgettable (1996),23-Feb-1996
925,926,Down Periscope (1996),01-Mar-1996
926,927,"Flower of My Secret, The (Flor de mi secreto, La) (1995)",08-Mar-1996
927,928,"Craft, The (1996)",26-Apr-1996
928,929,Harriet the Spy (1996),03-Jul-1996
929,930,Chain Reaction (1996),31-Jul-1996
930,931,"Island of Dr. Moreau, The (1996)",23-Aug-1996
931,932,First Kid (1996),30-Aug-1996
932,933,"Funeral, The (1996)",25-Oct-1996
933,934,"Preacher's Wife, The (1996)",13-Dec-1996
934,935,Paradise Road (1997),18-Apr-1997
935,936,Brassed Off (1996),13-Jun-1997
936,937,"Thousand Acres, A (1997)",01-Jan-1997
937,938,"Smile Like Yours, A (1997)",01-Jan-1997
938,939,Murder in the First (1995),01-Jan-1995
939,940,Airheads (1994),01-Jan-1994
940,941,With Honors (1994),01-Jan-1994
941,942,What's Love Got to Do with It (1993),01-Jan-1993
942,943,Killing Zoe (1994),01-Jan-1994
943,944,Renaissance Man (1994),01-Jan-1994
944,945,Charade (1963),01-Jan-1963
945,946,"Fox and the Hound, The (1981)",01-Jan-1981
946,947,"Big Blue, The (Grand bleu, Le) (1988)",01-Jan-1988
947,948,Booty Call (1997),28-Feb-1997
948,949,How to Make an American Quilt (1995),01-Jan-1995
949,950,Georgia (1995),01-Jan-1995
950,951,"Indian in the Cupboard, The (1995)",01-Jan-1995
951,952,Blue in the Face (1995),01-Jan-1995
952,953,Unstrung Heroes (1995),01-Jan-1995
953,954,Unzipped (1995),01-Jan-1995
954,955,Before Sunrise (1995),01-Jan-1995
955,956,Nobody's Fool (1994),01-Jan-1994
956,957,Pushing Hands (1992),01-Jan-1992
957,958,To Live (Huozhe) (1994),01-Jan-1994
958,959,Dazed and Confused (1993),01-Jan-1993
959,960,Naked (1993),01-Jan-1993
960,961,Orlando (1993),01-Jan-1993
961,962,Ruby in Paradise (1993),01-Jan-1993
962,963,Some Folks Call It a Sling Blade (1993),01-Jan-1993
963,964,"Month by the Lake, A (1995)",01-Jan-1995
964,965,Funny Face (1957),01-Jan-1957
965,966,"Affair to Remember, An (1957)",01-Jan-1957
966,967,Little Lord Fauntleroy (1936),01-Jan-1936
967,968,"Inspector General, The (1949)",01-Jan-1949
968,969,Winnie the Pooh and the Blustery Day (1968),01-Jan-1968
969,970,Hear My Song (1991),01-Jan-1991
970,971,Mediterraneo (1991),01-Jan-1991
971,972,Passion Fish (1992),01-Jan-1992
972,973,Grateful Dead (1995),18-Oct-1996
973,974,Eye for an Eye (1996),01-Jan-1996
974,975,Fear (1996),12-Apr-1996
975,976,Solo (1996),23-Aug-1996
976,977,"Substitute, The (1996)",19-Apr-1996
977,978,Heaven's Prisoners (1996),10-May-1996
978,979,"Trigger Effect, The (1996)",30-Aug-1996
979,980,Mother Night (1996),01-Nov-1996
980,981,Dangerous Ground (1997),04-Sep-1996
981,982,Maximum Risk (1996),13-Sep-1996
982,983,"Rich Man's Wife, The (1996)",13-Sep-1996
983,984,Shadow Conspiracy (1997),31-Jan-1997
984,985,Blood & Wine (1997),15-Nov-1996
985,986,Turbulence (1997),10-Jan-1997
986,987,Underworld (1997),09-May-1997
987,988,"Beautician and the Beast, The (1997)",07-Feb-1997
988,989,Cats Don't Dance (1997),26-Mar-1997
989,990,Anna Karenina (1997),04-Apr-1997
990,991,Keys to Tulsa (1997),11-Apr-1997
991,992,Head Above Water (1996),20-Jun-1997
992,993,Hercules (1997),27-Jun-1997
993,994,"Last Time I Committed Suicide, The (1997)",20-Jun-1997
994,995,"Kiss Me, Guido (1997)",01-Jan-1997
995,996,"Big Green, The (1995)",01-Jan-1995
996,997,Stuart Saves His Family (1995),01-Jan-1995
997,998,Cabin Boy (1994),01-Jan-1994
998,999,Clean Slate (1994),01-Jan-1994
999,1000,Lightning Jack (1994),01-Jan-1994
1000,1001,"Stupids, The (1996)",30-Aug-1996
1001,1002,"Pest, The (1997)",07-Feb-1997
1002,1003,That Darn Cat! (1997),14-Feb-1997
1003,1004,Geronimo: An American Legend (1993),01-Jan-1993
1004,1005,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",01-Jan-1991
1005,1006,Until the End of the World (Bis ans Ende der Welt) (1991),01-Jan-1991
1006,1007,Waiting for Guffman (1996),31-Jan-1997
1007,1008,I Shot Andy Warhol (1996),01-May-1996
1008,1009,Stealing Beauty (1996),14-Jun-1996
1009,1010,Basquiat (1996),16-Aug-1996
1010,1011,2 Days in the Valley (1996),27-Sep-1996
1011,1012,Private Parts (1997),07-Mar-1997
1012,1013,Anaconda (1997),11-Apr-1997
1013,1014,Romy and Michele's High School Reunion (1997),25-Apr-1997
1014,1015,Shiloh (1997),23-May-1997
1015,1016,Con Air (1997),06-Jun-1997
1016,1017,Trees Lounge (1996),11-Oct-1996
1017,1018,Tie Me Up! Tie Me Down! (1990),01-Jan-1990
1018,1019,"Die xue shuang xiong (Killer, The) (1989)",01-Jan-1989
1019,1020,Gaslight (1944),01-Jan-1944
1020,1021,8 1/2 (1963),01-Jan-1963
1021,1022,"Fast, Cheap & Out of Control (1997)",01-Jan-1997
1022,1023,Fathers' Day (1997),09-May-1997
1023,1024,Mrs. Dalloway (1997),01-Jan-1997
1024,1025,Fire Down Below (1997),01-Jan-1997
1025,1026,"Lay of the Land, The (1997)",01-Jan-1997
1026,1027,"Shooter, The (1995)",01-Jan-1995
1027,1028,Grumpier Old Men (1995),01-Jan-1995
1028,1029,Jury Duty (1995),01-Jan-1995
1029,1030,"Beverly Hillbillies, The (1993)",01-Jan-1993
1030,1031,Lassie (1994),01-Jan-1994
1031,1032,Little Big League (1994),01-Jan-1994
1032,1033,Homeward Bound II: Lost in San Francisco (1996),08-Mar-1996
1033,1034,"Quest, The (1996)",26-Apr-1996
1034,1035,Cool Runnings (1993),01-Jan-1993
1035,1036,Drop Dead Fred (1991),01-Jan-1991
1036,1037,Grease 2 (1982),01-Jan-1982
1037,1038,Switchback (1997),01-Jan-1997
1038,1039,Hamlet (1996),24-Jan-1997
1039,1040,Two if by Sea (1996),01-Jan-1996
1040,1041,Forget Paris (1995),01-Jan-1995
1041,1042,Just Cause (1995),01-Jan-1995
1042,1043,Rent-a-Kid (1995),01-Jan-1995
1043,1044,"Paper, The (1994)",01-Jan-1994
1044,1045,Fearless (1993),01-Jan-1993
1045,1046,Malice (1993),01-Jan-1993
1046,1047,Multiplicity (1996),12-Jul-1996
1047,1048,She's the One (1996),23-Aug-1996
1048,1049,House Arrest (1996),02-Aug-1996
1049,1050,"Ghost and Mrs. Muir, The (1947)",01-Jan-1947
1050,1051,"Associate, The (1996)",19-Oct-1996
1051,1052,Dracula: Dead and Loving It (1995),01-Jan-1995
1052,1053,Now and Then (1995),01-Jan-1995
1053,1054,Mr. Wrong (1996),16-Feb-1996
1054,1055,"Simple Twist of Fate, A (1994)",01-Jan-1994
1055,1056,Cronos (1992),01-Jan-1992
1056,1057,"Pallbearer, The (1996)",19-Apr-1996
1057,1058,"War, The (1994)",01-Jan-1994
1058,1059,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),01-Jan-1996
1059,1060,"Adventures of Pinocchio, The (1996)",26-Jul-1996
1060,1061,"Evening Star, The (1996)",25-Dec-1996
1061,1062,Four Days in September (1997),23-Jan-1998
1062,1063,"Little Princess, A (1995)",01-Jan-1995
1063,1064,Crossfire (1947),01-Jan-1947
1064,1065,Koyaanisqatsi (1983),01-Jan-1983
1065,1066,Balto (1995),01-Jan-1995
1066,1067,Bottle Rocket (1996),21-Feb-1996
1067,1068,"Star Maker, The (Uomo delle stelle, L') (1995)",01-Mar-1996
1068,1069,Amateur (1994),01-Jan-1994
1069,1070,Living in Oblivion (1995),01-Jan-1995
1070,1071,Party Girl (1995),01-Jan-1995
1071,1072,"Pyromaniac's Love Story, A (1995)",01-Jan-1995
1072,1073,Shallow Grave (1994),01-Jan-1994
1073,1074,Reality Bites (1994),01-Jan-1994
1074,1075,"Man of No Importance, A (1994)",01-Jan-1994
1075,1076,"Pagemaster, The (1994)",01-Jan-1994
1076,1077,Love and a .45 (1994),01-Jan-1994
1077,1078,Oliver & Company (1988),29-Mar-1988
1078,1079,Joe's Apartment (1996),26-Jul-1996
1079,1080,Celestial Clockwork (1994),12-Jul-1996
1080,1081,Curdled (1996),27-Sep-1996
1081,1082,Female Perversions (1996),25-Apr-1997
1082,1083,Albino Alligator (1996),17-Jan-1997
1083,1084,Anne Frank Remembered (1995),23-Feb-1996
1084,1085,Carried Away (1996),29-Mar-1996
1085,1086,It's My Party (1995),22-Mar-1996
1086,1087,Bloodsport 2 (1995),01-Mar-1996
